studyName,Sample Number,Species,Region,Island,Stage,,,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex
PAL0708,1,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/11/2007,39.1,18.7,181,3750,MALE
PAL0708,2,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/11/2007,39.5,17.4,186,3800,FEMALE
PAL0708,3,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/16/07,40.3,18,195,3250,FEMALE
PAL0708,5,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/16/07,36.7,19.3,193,3450,FEMALE
PAL0708,6,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/16/07,39.3,20.6,190,3650,MALE
PAL0708,7,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/15/07,38.9,17.8,181,3625,FEMALE
PAL0708,8,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/15/07,39.2,19.6,195,4675,MALE
PAL0708,10,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/09/2007,42,20.2,190,4250,
PAL0708,11,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/09/2007,37.8,17.1,186,3300,
PAL0708,15,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/16/07,34.6,21.1,198,4400,MALE
PAL0708,17,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/12/2007,38.7,19,195,3450,FEMALE
PAL0708,18,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/12/2007,42.5,20.7,197,4500,MALE
PAL0708,19,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/16/07,34.4,18.4,184,3325,FEMALE
PAL0708,20,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",,,11/16/07,46,21.5,194,4200,MALE
PAL0708,21,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/12/2007,37.8,18.3,174,3400,FEMALE
PAL0708,22,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/12/2007,37.7,18.7,180,3600,MALE
PAL0708,23,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/12/2007,35.9,19.2,189,3800,FEMALE
PAL0708,24,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/12/2007,38.2,18.1,185,3950,MALE
PAL0708,25,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/10/2007,38.8,17.2,180,3800,MALE
PAL0708,26,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/10/2007,35.3,18.9,187,3800,FEMALE
PAL0708,27,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/12/2007,40.6,18.6,183,3550,MALE
PAL0708,28,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/12/2007,40.5,17.9,187,3200,FEMALE
PAL0708,29,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/10/2007,37.9,18.6,172,3150,FEMALE
PAL0708,30,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/10/2007,40.5,18.9,180,3950,MALE
PAL0708,31,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/09/2007,39.5,16.7,178,3250,FEMALE
PAL0708,32,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/09/2007,37.2,18.1,178,3900,MALE
PAL0708,33,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/09/2007,39.5,17.8,188,3300,FEMALE
PAL0708,34,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/09/2007,40.9,18.9,184,3900,MALE
PAL0708,35,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/16/07,36.4,17,195,3325,FEMALE
PAL0708,36,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/16/07,39.2,21.1,196,4150,MALE
PAL0708,37,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/16/07,38.8,20,190,3950,MALE
PAL0708,38,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/16/07,42.2,18.5,180,3550,FEMALE
PAL0708,39,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/13/07,37.6,19.3,181,3300,FEMALE
PAL0708,41,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/16/07,36.5,18,182,3150,FEMALE
PAL0708,43,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/19/07,36,18.5,186,3100,FEMALE
PAL0708,44,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/19/07,44.1,19.7,196,4400,MALE
PAL0708,45,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/16/07,37,16.9,185,3000,FEMALE
PAL0708,46,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/16/07,39.6,18.8,190,4600,MALE
PAL0708,49,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",,,11/13/07,36,17.9,190,3450,FEMALE
PAL0708,1,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/19/07,46.5,17.9,192,3500,FEMALE
PAL0708,2,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/19/07,50,19.5,196,3900,MALE
PAL0708,3,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/26/07,51.3,19.2,193,3650,MALE
PAL0708,4,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/26/07,45.4,18.7,188,3525,FEMALE
PAL0708,5,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/21/07,52.7,19.8,197,3725,MALE
PAL0708,6,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/21/07,45.2,17.8,198,3950,FEMALE
